time,passenger_count,trip_distance,trip_duration,PULocationID,DOLocationID,demand_count
2023-01-13 16:00:00,1.0,2.835,34.0,32.0,168.0,8.0
2023-01-13 17:00:00,1.0,3.1,24.0,60.0,42.0,5.0
2023-01-13 18:00:00,1.0,21.3,54.5,235.0,117.0,2.0
2023-01-13 19:00:00,4.0,17.62,57.0,208.0,265.0,1.0
2023-01-13 20:00:00,1.0,0.92,5.0,94.0,169.0,2.0
2023-01-13 21:00:00,3.0,2.6,15.0,69.0,74.0,1.0
2023-01-13 22:00:00,1.0,7.42,22.0,69.0,167.0,2.0
2023-01-13 23:00:00,1.0,18.4,41.0,247.0,222.0,1.0
2023-01-14 00:00:00,2.0,2.3,12.0,18.0,47.0,3.0
2023-01-14 01:00:00,2.0,2.3,12.0,51.0,42.0,3.0
2023-01-14 02:00:00,2.0,2.3,12.0,51.0,42.0,3.0
2023-01-14 03:00:00,1.0,16.56,29.0,200.0,265.0,1.0
2023-01-14 04:00:00,1.0,3.73,14.0,159.0,39.0,6.0
2023-01-14 05:00:00,1.0,1.4,31.0,250.0,242.0,1.0
2023-01-14 06:00:00,1.0,14.4,28.0,51.0,11.0,3.0
2023-01-14 07:00:00,1.0,4.05,20.5,51.0,3.0,6.0
2023-01-14 08:00:00,1.5,3.525,10.0,168.0,42.0,2.0
2023-01-14 09:00:00,1.0,10.85,27.0,51.0,23.0,5.0
2023-01-14 10:00:00,1.0,5.449999999999999,32.5,254.0,41.0,6.0
2023-01-14 11:00:00,1.0,2.9,45.0,200.0,132.0,2.0
2023-01-14 12:00:00,1.0,20.0,42.0,136.0,39.0,3.0
2023-01-14 13:00:00,1.0,4.17,18.0,81.0,166.0,3.0
2023-01-14 14:00:00,1.0,5.1,20.0,47.0,174.0,3.0
2023-01-14 15:00:00,1.0,2.28,16.0,159.0,41.0,5.0
2023-01-14 16:00:00,2.0,5.89,22.0,69.0,47.0,3.0
2023-01-14 17:00:00,1.0,6.9,20.0,168.0,5.0,4.0
2023-01-14 18:00:00,1.0,5.9,24.0,32.0,213.0,5.0
2023-01-14 19:00:00,1.0,6.3,25.0,168.0,81.0,3.0
2023-01-14 20:00:00,1.0,6.3,25.0,51.0,42.0,3.0
2023-01-14 21:00:00,1.5,8.350000000000001,18.0,126.0,152.0,2.0
2023-01-14 22:00:00,1.0,3.52,18.0,167.0,42.0,1.0
2023-01-14 23:00:00,2.0,1.25,8.0,119.0,119.0,3.0
2023-01-15 00:00:00,1.0,7.619999999999999,22.5,69.0,68.0,2.0
2023-01-15 01:00:00,1.0,8.345,21.0,242.0,222.0,2.0
2023-01-15 02:00:00,3.0,2.71,15.0,168.0,47.0,1.0
2023-01-15 03:00:00,1.0,7.105,17.5,69.0,75.0,4.0
2023-01-15 04:00:00,1.0,7.105,17.5,51.0,42.0,4.0
2023-01-15 05:00:00,1.0,3.85,10.0,168.0,140.0,1.0
2023-01-15 06:00:00,1.0,11.7,33.0,254.0,68.0,1.0
2023-01-15 07:00:00,1.0,8.2,23.0,18.0,61.0,5.0
2023-01-15 08:00:00,1.0,7.3,15.0,20.0,18.0,6.0
2023-01-15 09:00:00,1.0,6.715,25.5,51.0,18.0,4.0
2023-01-15 10:00:00,1.0,2.075,9.5,126.0,120.0,6.0
2023-01-15 11:00:00,1.0,5.199999999999999,18.5,247.0,147.0,2.0
2023-01-15 12:00:00,1.0,0.715,6.5,235.0,119.0,2.0
2023-01-15 13:00:00,1.0,4.85,16.0,94.0,147.0,2.0
2023-01-15 14:00:00,1.0,1.56,14.0,78.0,126.0,5.0
2023-01-15 15:00:00,1.0,2.2,18.0,168.0,69.0,1.0
2023-01-15 16:00:00,1.0,2.675,18.5,69.0,116.0,6.0
2023-01-15 17:00:00,1.0,4.3500000000000005,22.0,3.0,32.0,2.0
2023-01-15 18:00:00,1.0,3.9,25.0,20.0,74.0,5.0
2023-01-15 19:00:00,1.5,2.9,12.5,168.0,136.0,2.0
2023-01-15 20:00:00,1.0,4.33,15.0,159.0,47.0,3.0
2023-01-15 21:00:00,1.0,7.404999999999999,20.0,18.0,51.0,2.0
2023-01-15 22:00:00,1.0,7.404999999999999,20.0,51.0,42.0,2.0
2023-01-15 23:00:00,1.0,3.04,11.5,32.0,42.0,2.0
2023-01-16 00:00:00,1.0,0.315,1.0,167.0,51.0,2.0
2023-01-16 01:00:00,1.0,0.17,1.0,69.0,69.0,1.0
2023-01-16 02:00:00,1.0,0.17,1.0,51.0,42.0,1.0
2023-01-16 03:00:00,1.0,0.17,1.0,51.0,42.0,1.0
2023-01-16 04:00:00,1.0,0.17,1.0,51.0,42.0,1.0
2023-01-16 05:00:00,1.0,0.17,1.0,51.0,42.0,1.0
2023-01-16 06:00:00,1.0,11.3,30.0,213.0,197.0,1.0
2023-01-16 07:00:00,1.0,3.1,18.5,51.0,212.0,2.0
2023-01-16 08:00:00,1.0,7.45,20.0,51.0,18.0,4.0
